address,area,city,company,date,salary_max,salary_min,salery,title,province
深圳-龙岗区,龙岗区,深圳,深圳市中天明消防科技有限公司,06-18,12000.0,10000.0,1-1.2万/月,嵌入式硬件工程师,广东
深圳-宝安区,宝安区,深圳,西昊家具（深圳）有限公司,06-18,15000.0,10000.0,1-1.5万/月,嵌入式硬件工程师,广东
深圳-南山区,南山区,深圳,深圳阜时科技有限公司,06-18,18000.0,12000.0,1.2-1.8万/月,嵌入式硬件工程师,广东
上海-闵行区,闵行区,上海,上海润桂荇信息科技股份有限公司,06-18,15000.0,8000.0,0.8-1.5万/月,嵌入式硬件工程师,上海
上海,NA,上海,上海司羿智能科技有限公司,06-18,17000.0,14000.0,1.4-1.7万/月,嵌入式硬件工程师,上海
成都-武侯区,武侯区,成都,成都华泰互联科技有限公司,06-18,8000.0,6000.0,6-8千/月,嵌入式硬件工程师,四川
上海-嘉定区,嘉定区,上海,上海磐诺仪器有限公司,06-18,10000.0,8000.0,0.8-1万/月,嵌入式硬件工程师,上海
深圳-宝安区,宝安区,深圳,深圳市世格赛思医疗科技有限公司,06-18,18000.0,8000.0,0.8-1.8万/月,嵌入式硬件工程师,广东
深圳-南山区,南山区,深圳,广东卓纬科技有限公司,06-19,20000.0,10000.0,1-2万/月,嵌入式硬件工程师,广东
上海-宝山区,宝山区,上海,上海康达卡勒幅医疗科技有限公司,06-18,15000.0,10000.0,1-1.5万/月,嵌入式硬件工程师,上海
深圳,NA,深圳,北京独创时代科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式硬件工程师,广东
成都-高新区,高新区,成都,成都思源兄弟科技有限公司,06-18,10000.0,8000.0,0.8-1万/月,嵌入式硬件工程师,四川
北京-海淀区,海淀区,北京,赤松城（北京）科技有限公司,06-18,15000.0,8000.0,0.8-1.5万/月,嵌入式硬件工程师,北京
上海,NA,上海,上海贝电实业（集团）股份有限公司...,06-18,16000.0,11000.0,1.1-1.6万/月,嵌入式硬件工程师,上海
