address,area,city,company,date,salary_max,salary_min,salery,title,province
深圳-南山区,南山区,深圳,深圳市菲森科技有限公司,06-18,13000.0,8000.0,0.8-1.3万/月,Web后端(Golang/java开发),广东
深圳-南山区,南山区,深圳,湖北赫兆科技有限公司,06-18,20000.0,15000.0,1.5-2万/月,Golang工程师,广东
广州-天河区,天河区,广州,大连亿达信息技术有限公司深圳分公...,06-19,15000.0,10000.0,1-1.5万/月,golang开发工程师（区块链）,广东
深圳,NA,深圳,深圳市拓保软件有限公司,06-17,18000.0,12000.0,1.2-1.8万/月,golang工程师,广东
广州-天河区,天河区,广州,广州千骐动漫有限公司,06-17,20000.0,15000.0,1.5-2万/月,golang工程师,广东
广州-天河区,天河区,广州,广东道一信息技术股份有限公司,06-17,15000.0,10000.0,1-1.5万/月,golang中高级工程师,广东
深圳-南山区,南山区,深圳,深圳雷漫网络科技有限公司,06-17,50000.0,30000.0,3-5万/月,golang资深专家,广东
上海,NA,上海,宁波比孚信息科技有限公司,06-17,20000.0,15000.0,1.5-2万/月,golang后端开发工程师,上海
青岛-市南区,市南区,青岛,Topgames,06-17,15000.0,10000.0,1-1.5万/月,golang开发工程师,山东
西安-雁塔区,雁塔区,西安,深圳市有方科技股份有限公司,06-17,15000.0,10000.0,1-1.5万/月,Golang语言开发,陕西
上海-虹口区,虹口区,上海,上海杰奕信息技术有限公司,06-16,20000.0,10000.0,1-2万/月,golang开发工程师,上海
深圳-南山区,南山区,深圳,清科优能（深圳）技术有限公司,06-16,30000.0,15000.0,1.5-3万/月,Django开发工程师,广东
广州-天河区,天河区,广州,广州中望龙腾软件股份有限公司,06-16,15000.0,10000.0,1-1.5万/月,Golang后端开发,广东
杭州-西湖区,西湖区,杭州,杭州云创想网络科技有限公司,06-16,25000.0,15000.0,1.5-2.5万/月,Golang工程师,浙江
深圳-宝安区,宝安区,深圳,乾元云硕科技（深圳）有限公司,06-16,35000.0,18000.0,1.8-3.5万/月,高级golang工程师,广东
深圳-南山区,南山区,深圳,风变科技（深圳）有限公司,06-16,25000.0,15000.0,1.5-2.5万/月,golang 开发工程师,广东
广州-花都区,花都区,广州,深圳联友科技有限公司,06-16,15000.0,8000.0,0.8-1.5万/月,软件工程师（Golang）,广东
南京-江宁区,江宁区,南京,孩子王儿童用品股份有限公司,06-16,30000.0,15000.0,1.5-3万/月,golang开发工程师,江苏
广州-黄埔区,黄埔区,广州,微企智联科技（广州）有限公司,06-15,15000.0,8000.0,0.8-1.5万/月,Golang后端开发工程师,广东
上海-徐汇区,徐汇区,上海,上海伊库伊库网络科技有限公司,06-15,20000.0,15000.0,1.5-2万/月,Golang高级开发工程师,上海
南京-雨花台区,雨花台区,南京,深圳市网新新思软件有限公司,06-14,15000.0,10000.0,1-1.5万/月,Golang,江苏
北京,NA,北京,北京东方国信科技股份有限公司,06-13,24000.0,12000.0,1.2-2.4万/月,golang高级研发工程师（SJCJ1sss）(J12032),北京
温州,NA,温州,浙江创力电子股份有限公司,06-13,15000.0,8000.0,0.8-1.5万/月,Golang开发工程师,浙江
重庆-渝中区,渝中区,重庆,华夏航空股份有限公司,06-12,12000.0,8000.0,0.8-1.2万/月,Golang开发工程师（云融科技）,重庆
成都-高新区,高新区,成都,云和恩墨（北京）信息技术有限公司...,06-12,15000.0,7000.0,0.7-1.5万/月,golang 工程师,四川
上海-徐汇区,徐汇区,上海,上海火魂网络科技有限公司,06-17,18000.0,10000.0,1-1.8万/月,Go语言开发工程师,上海
深圳-南山区,南山区,深圳,才信（深圳）人力资源技术有限公司...,06-17,25000.0,10000.0,1-2.5万/月,GO语言开发工程师,广东
深圳,NA,深圳,深圳市易思博酷客科技有限公司,06-17,12500.0,8333.0,10-15万/年,Go后台开发工程师,广东
深圳-福田区,福田区,深圳,深圳市先河系统技术有限公司,06-17,20000.0,10000.0,1-2万/月,GO开发工程师,广东
北京-昌平区,昌平区,北京,北京恒安众生科技有限公司,06-17,20000.0,12000.0,1.2-2万/月,GO开发工程师,北京
深圳,NA,深圳,万兴科技集团股份有限公司,06-17,25000.0,20000.0,2-2.5万/月,高级GO开发工程师,广东
武汉,NA,武汉,科大讯飞股份有限公司,06-17,25000.0,15000.0,1.5-2.5万/月,GO开发工程师-教育事业部-武汉,湖北
上海-浦东新区,浦东新区,上海,上海润和信息技术服务有限公司,06-17,25000.0,15000.0,1.5-2.5万/月,GO开发工程师,上海
上海-宝山区,宝山区,上海,上海快来秀展示科技有限公司,06-17,15000.0,9000.0,0.9-1.5万/月,GO语言开发工程师,上海
深圳-南山区,南山区,深圳,海南高灯科技有限公司,06-17,25000.0,12000.0,1.2-2.5万/月,go开发工程师（云票儿深圳）(J10599),广东
深圳-南山区,南山区,深圳,青牛智胜（深圳）科技有限公司,06-17,25000.0,20000.0,2-2.5万/月,高级Go开发工程师,广东
上海-虹口区,虹口区,上海,广东省电信规划设计院有限公司,06-17,15000.0,10000.0,1-1.5万/月,GO开发工程师,上海
广州-天河区,天河区,广州,北京北明数科信息技术有限公司,06-17,15000.0,10000.0,1-1.5万/月,GO开发工程师,广东
上海-徐汇区,徐汇区,上海,亚数信息科技（上海）有限公司,06-17,20000.0,10000.0,1-2万/月,Go开发工程师,上海
杭州-萧山区,萧山区,杭州,国金区块链科技(杭州)有限公司,06-17,30000.0,15000.0,1.5-3万/月,Go语言工程师,浙江
北京-海淀区,海淀区,北京,广联达,06-17,35000.0,25000.0,2.5-3.5万/月,go语言高级开发工程师 (MJ002011),北京
上海-浦东新区,浦东新区,上海,上海理想信息产业（集团）有限公司...,06-17,25000.0,13000.0,1.3-2.5万/月,Go开发工程师,上海
珠海-香洲区,香洲区,珠海,珠海优特电力科技股份有限公司,06-17,15000.0,10000.0,1-1.5万/月,go语言软件工程师,广东
苏州-工业园区,工业园区,苏州,苏州橙掌网络科技有限公司,06-16,20000.0,15000.0,1.5-2万/月,GO开发工程师,江苏
广州-天河区,天河区,广州,广州凯媒通讯技术有限公司,06-16,30000.0,15000.0,1.5-3万/月,GO开发工程师（5G核心网）,广东
深圳-宝安区,宝安区,深圳,深圳蓝川信息科技有限公司,06-16,30000.0,20000.0,2-3万/月,GO后台高级工程师,广东
南京-建邺区,建邺区,南京,中盈优创资讯科技有限公司,06-16,20000.0,10000.0,1-2万/月,P0040-高级开发工程师（C/Go/Perl）,江苏
上海-虹口区,虹口区,上海,上海芯翌智能科技有限公司,06-16,25000.0,20000.0,2-2.5万/月,GO开发工程师,上海
深圳-南山区,南山区,深圳,深圳市前海润杨金融服务有限公司,06-16,20000.0,10000.0,1-2万/月,GO开发工程师,广东
上海-松江区,松江区,上海,上海巨人网络科技有限公司,06-16,30000.0,25000.0,2.5-3万/月,游戏服务器开发工程师（C++/GO）,上海
深圳-福田区,福田区,深圳,深圳市中联创新自控系统有限公司,06-16,30000.0,20000.0,2-3万/月,高级研发工程师(C++/Go),广东
北京-朝阳区,朝阳区,北京,北京创世云科技有限公司,06-16,30000.0,20000.0,2-3万/月,go高级开发工程师,北京
北京,NA,北京,北京北纬通信科技股份有限公司,06-16,30000.0,25000.0,2.5-3万/月,GO开发工程师,北京
上海-浦东新区,浦东新区,上海,爱贝迪教育科技有限公司,06-16,25000.0,15000.0,1.5-2.5万/月,GO开发工程师,上海
武汉-洪山区,洪山区,武汉,前海金信（深圳）科技有限责任公司...,06-16,20000.0,12000.0,1.2-2万/月,Go语言后端工程师（中级）,湖北
沈阳-和平区,和平区,沈阳,大连东软思维科技发展有限公司,06-16,12000.0,7000.0,0.7-1.2万/月,GO开发工程师,辽宁
深圳,NA,深圳,深圳一匹狼科技有限公司,06-15,40000.0,20000.0,2-4万/月,Go开发工程师（容器开发）,广东
成都-武侯区,武侯区,成都,成都矢量科技有限公司,06-15,5500.0,3500.0,3.5-5.5千/月,GO开发工程师,四川
深圳-福田区,福田区,深圳,深圳星际超脑智能系统有限公司,06-15,20000.0,15000.0,1.5-2万/月,GO语言工程师,广东
上海-闵行区,闵行区,上海,芯球（上海）智能科技有限责任公司...,06-15,20000.0,15000.0,1.5-2万/月,Go语言高级算法工程师,上海
杭州-西湖区,西湖区,杭州,杭州网银互联科技股份有限公司,06-15,15000.0,7000.0,0.7-1.5万/月,GO开发工程师,浙江
宁波-慈溪市,慈溪市,宁波,新海科技集团有限公司,06-15,6000.0,3000.0,3-6千/月,Go工程师,浙江
成都-高新区,高新区,成都,四川成都贝壳闹海房地产经纪有限公...,06-14,13000.0,6000.0,0.6-1.3万/月,Lets go赚钱晋升两不误 链家房产销售Qq,四川
深圳-南山区,南山区,深圳,深圳市网心科技有限公司,06-14,36000.0,18000.0,1.8-3.6万/月,GO/C++服务器后台开发工程师,广东
深圳-龙华新区,龙华新区,深圳,深圳影儿时尚集团有限公司,06-13,25000.0,10000.0,1-2.5万/月,GO开发工程师,广东
上海,NA,上海,喜茶,06-12,6000.0,4500.0,4.5-6千/月,喜茶初级调茶师（上海泰禾大厦GO店）,上海
上海-闵行区,闵行区,上海,杭州游卡网络技术有限公司,06-12,25000.0,20000.0,2-2.5万/月,C++/go服务端开发工程师（游戏）,上海
成都-锦江区,锦江区,成都,深圳市金证科技股份有限公司,06-12,25000.0,20000.0,2-2.5万/月,Go语言主管开发工程师、高级开发工程师(J10582),四川
上海-长宁区,长宁区,上海,思睿认证（上海）有限公司,06-11,12000.0,7000.0,0.7-1.2万/月,GO开发工程师（电商平台）,上海
