title,company,address,salery,date,salary_min,salary_max,provence,city,area
硬件工程师,南京英锐创电子科技有限公司,南京,10-20万/年,06-06,8333.0,16666.0,江苏省,南京,
嵌入式硬件工程师,山东派蒙机电技术有限公司,济南,1-1.5万/月,06-06,10000.0,15000.0,山东省,济南,
高级嵌入式工程师,上海依威能源科技有限公司,深圳-龙岗区,1.6-2.2万/月,06-05,16000.0,22000.0,广东省,深圳,龙岗区
嵌入式软件开发,北京宇天恒瑞科技发展有限公司,南京-浦口区,0.6-1.2万/月,06-05,6000.0,12000.0,江苏省,南京,浦口区
C++/嵌入式开发工程师,深圳市杉川机器人有限公司,深圳-南山区,1.2-2万/月,06-05,12000.0,20000.0,广东省,深圳,南山区
嵌入式工程师,重庆京因生物科技有限责任公司,重庆-大渡口区,0.6-1.2万/月,06-05,6000.0,12000.0,重庆市,重庆,大渡口区
FPGA工程师,中科芯集成电路有限公司武汉分公司...,武汉,1.5-2万/月,06-05,15000.0,20000.0,湖北省,武汉,
IOT嵌入式软件开发工程师,恒玄科技（上海）股份有限公司,深圳-南山区,1.5-3万/月,06-04,15000.0,30000.0,广东省,深圳,南山区
嵌入式工程师,北京华路时代信息技术股份有限公司...,北京,1-1.5万/月,06-04,10000.0,15000.0,北京市,北京,
嵌入式工程师,青岛森科特智能仪器有限公司,青岛-即墨区,6.5-9千/月,06-04,6500.0,9000.0,山东省,青岛,即墨区
嵌入式开发工程师,深圳市壹厘米科技有限公司,深圳-南山区,1-1.5万/月,06-04,10000.0,15000.0,广东省,深圳,南山区
IOT嵌入式软件开发工程师,恒玄科技（上海）股份有限公司,成都-武侯区,1.5-3万/月,06-03,15000.0,30000.0,四川省,成都,武侯区
IOT嵌入式软件开发工程师,恒玄科技（上海）股份有限公司,北京-海淀区,1.5-3万/月,06-03,15000.0,30000.0,北京市,北京,海淀区
嵌入式软件开发,成都天兴汽车零部件有限公司,成都-龙泉驿区,0.8-1万/月,06-03,8000.0,10000.0,四川省,成都,龙泉驿区
嵌入式软件开发工程师,无锡锐科光纤激光技术有限责任公司...,无锡-惠山区,0.6-1万/月,06-03,6000.0,10000.0,江苏省,无锡,惠山区
嵌入式软件开发工程师,无锡锐科光纤激光技术有限责任公司...,无锡-惠山区,5-8千/月,06-03,5000.0,8000.0,江苏省,无锡,惠山区
嵌入式软件开发（C/C++）,上海吾创信息科技有限公司,上海-浦东新区,1.1-1.6万/月,06-03,11000.0,16000.0,上海市,上海,浦东新区
嵌入式软件开发工程师,上海图趣信息科技有限公司（Wayz....,上海-浦东新区,1.5-2万/月,06-03,15000.0,20000.0,上海市,上海,浦东新区
C++嵌入式开发工程师,广州中金育能教育科技有限公司,广州-天河区,1.5-2.5万/月,06-03,15000.0,25000.0,广东省,广州,天河区
嵌入式开发工程师,广州中金育能教育科技有限公司,广州-天河区,1-1.5万/月,06-03,10000.0,15000.0,广东省,广州,天河区
蓝牙音频嵌入式软件开发工程师,奉加微电子（上海）有限公司,上海-浦东新区,1-4万/月,06-03,10000.0,40000.0,上海市,上海,浦东新区
资深SOC嵌入式工程师,奉加微电子（上海）有限公司,上海-浦东新区,1-4万/月,06-03,10000.0,40000.0,上海市,上海,浦东新区
高级嵌入式软件开发工程师,华砺智行（武汉）科技有限公司,武汉,1-1.8万/月,06-03,10000.0,18000.0,湖北省,武汉,
电子硬件工程师,广东黑龙智能科技有限公司,佛山,1.2-1.5万/月,06-02,12000.0,15000.0,广东省,佛山,
嵌入式工程师,美康生物科技股份有限公司,宁波,10-18万/年,06-02,8333.0,15000.0,浙江省,宁波,
SSD固件工程师,深圳市得一微电子有限责任公司,深圳-南山区,1-2万/月,06-02,10000.0,20000.0,广东省,深圳,南山区
高级嵌入式软件开发工程师,上海宏力达信息技术股份有限公司,南京,1.2-2万/月,06-02,12000.0,20000.0,江苏省,南京,
C/C++开发工程师（嵌入式开发）,世纪龙信息网络有限责任公司,广州-天河区,1.8-2.6万/月,06-02,18000.0,26000.0,广东省,广州,天河区
FPGA工程师（南京）,中科芯集成电路有限公司南京分公司...,南京,15-30万/年,06-02,12500.0,25000.0,江苏省,南京,
高级嵌入式软件开发工程师,江苏铠硕信息技术有限公司,南京-建邺区,1.5-2.5万/月,06-02,15000.0,25000.0,江苏省,南京,建邺区
嵌入式软件开发 Linux驱动开发工程师,上海示见信息技术有限公司,上海,1-2万/月,06-01,10000.0,20000.0,上海市,上海,
嵌入式软件开发工程师,湖州华来科技有限公司,湖州-长兴县,3-4.5千/月,06-01,3000.0,4500.0,浙江省,湖州,长兴县
高级嵌入式工程师（电气）,昇辉控股有限公司,佛山-顺德区,1-1.5万/月,06-01,10000.0,15000.0,广东省,佛山,顺德区
固件工程师,苏航空间技术无锡有限公司,无锡-锡山区,0.7-1.4万/月,06-01,7000.0,14000.0,江苏省,无锡,锡山区
ARM嵌入式工程师,广东合即得能源科技有限公司,东莞-樟木头镇,1-2万/月,05-31,10000.0,20000.0,广东省,东莞,樟木头镇
FPGA固件工程师,武汉华中数控股份有限公司,武汉,0.8-1万/月,05-31,8000.0,10000.0,湖北省,武汉,
固件工程师,国民技术股份有限公司,深圳-南山区,1-1.5万/月,05-30,10000.0,15000.0,广东省,深圳,南山区
嵌入式开发工程师,国民技术股份有限公司,深圳-南山区,1-1.5万/月,05-30,10000.0,15000.0,广东省,深圳,南山区
IP-嵌入式软件开发工程师,杭州海康威视数字技术股份有限公司...,杭州-滨江区,1-1.5万/月,05-30,10000.0,15000.0,浙江省,杭州,滨江区
嵌入式/固件工程师,深圳牙领科技有限公司,上海-浦东新区,1.5-2.5万/月,05-29,15000.0,25000.0,上海市,上海,浦东新区
C++嵌入式软件开发工程师(车载方向),大连隆基信息技术有限公司,大连-甘井子区,0.8-1万/月,05-29,8000.0,10000.0,辽宁省,大连,甘井子区
初级嵌入式软件开发工程师,大连隆基信息技术有限公司,大连-甘井子区,0.6-1万/月,05-29,6000.0,10000.0,辽宁省,大连,甘井子区
固件工程师,杭州华澜微电子股份有限公司,深圳,0.8-2万/月,05-29,8000.0,20000.0,广东省,深圳,
嵌入式软件开发工程师,浙江文谷科技有限公司,宁波-鄞州区,0.6-1万/月,05-29,6000.0,10000.0,浙江省,宁波,鄞州区
硬件工程师（智能锁）,深圳市永泰新欣科技有限公司,深圳-龙华新区,1-2万/月,05-29,10000.0,20000.0,广东省,深圳,龙华新区
