title,company,address,salery,date,salary_min,salary_max,provence,city,area
PHP工程师,深圳盈富斯科技有限公司,深圳,1.2-1.7万/月,06-19,12000.0,17000.0,广东省,深圳,
PHP开发工程师,上海交大慧谷通用技术有限公司,上海-徐汇区,6-8千/月,06-19,6000.0,8000.0,上海市,上海,徐汇区
PHP开发工程师,湖南融创致远网络科技有限公司,深圳-龙岗区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,龙岗区
PHP开发工程师,安歆·YU,上海-徐汇区,1.3-2万/月,06-19,13000.0,20000.0,上海市,上海,徐汇区
PHP开发工程师,成都汇集科技有限公司,成都-金牛区,3-3千/月,06-19,3000.0,3000.0,四川省,成都,金牛区
PHP开发工程师,百度沈阳地区营销服务中心,沈阳-和平区,6-8千/月,06-19,6000.0,8000.0,辽宁省,沈阳,和平区
PHP高级开发工程师,广州盛景网络科技有限公司,广州-白云区,0.6-1万/月,06-19,6000.0,10000.0,广东省,广州,白云区
PHP开发工程师,湖南津湘药业有限公司,益阳,6-8千/月,06-19,6000.0,8000.0,湖南省,益阳,
PHP开发工程师,深圳市顺时网络科技有限公司,深圳-宝安区,6-8千/月,06-19,6000.0,8000.0,广东省,深圳,宝安区
PHP开发工程师,洪熹（上海）信息技术有限公司,上海-徐汇区,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,徐汇区
php（Drupal）开发工程师,上海极艾网络科技有限公司,上海-静安区,1.8-2.2万/月,06-19,18000.0,22000.0,上海市,上海,静安区
PHP开发工程师,深圳市乐唯科技开发有限公司,深圳,0.7-1.1万/月,06-19,7000.0,11000.0,广东省,深圳,
PHP开发工程师,广州市奔步广告有限公司,广州,0.8-1万/月,06-19,8000.0,10000.0,广东省,广州,
PHP开发工程师,浙江掌一信息科技有限公司,嘉兴,0.8-1万/月,06-19,8000.0,10000.0,浙江省,嘉兴,
PHP程序员/软件工程师,上海浦峰农业科技有限公司,上海-浦东新区,1.2-2.5万/月,06-19,12000.0,25000.0,上海市,上海,浦东新区
PHP开发工程师,广州拓动网络科技有限公司,广州-天河区,0.8-1.5万/月,06-19,8000.0,15000.0,广东省,广州,天河区
PHP开发工程师,重庆悦派对信息科技有限公司,重庆-江北区,0.8-3万/月,06-19,8000.0,30000.0,重庆市,重庆,江北区
PHP开发工程师,深圳市普惠医学技术有限公司,深圳-福田区,0.8-1.2万/月,06-19,8000.0,12000.0,广东省,深圳,福田区
PHP开发工程师,江苏三六五网络股份有限公司,南京-建邺区,1-1.5万/月,06-19,10000.0,15000.0,江苏省,南京,建邺区
资深PHP开发工程师,上海欢动科技有限公司,上海-浦东新区,1.5-2.5万/月,06-19,15000.0,25000.0,上海市,上海,浦东新区
后端PHP,宁波铂域网络科技有限公司,宁波-海曙区,1.4-1.6万/月,06-19,14000.0,16000.0,浙江省,宁波,海曙区
PHP开发工程师,南宁市创勤信息技术有限责任公司,柳州,3-9千/月,06-19,3000.0,9000.0,广西壮族自治区,柳州,
PHP开发工程师,上海翊缃智能科技有限公司,上海-长宁区,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,长宁区
PHP开发工程师（双休）,广州学海生涯教育科技有限公司,广州-天河区,0.8-1万/月,06-19,8000.0,10000.0,广东省,广州,天河区
PHP开发工程师,昆明行列科技有限公司,昆明-官渡区,7-8千/月,06-19,7000.0,8000.0,云南省,昆明,官渡区
PHP中级开发工程师,广州市神州联保科技有限公司,广州-天河区,0.6-1.2万/月,06-19,6000.0,12000.0,广东省,广州,天河区
PHP 高级工程师,上海海芒网络科技有限公司,长沙-天心区,0.7-1.2万/月,06-19,7000.0,12000.0,湖南省,长沙,天心区
PHP开发工程师,上海广晖汽配有限公司,上海-闵行区,0.8-1.5万/月,06-19,8000.0,15000.0,上海市,上海,闵行区
PHP开发工程师,智线云科技（北京）有限公司武汉分...,武汉-洪山区,0.8-1.6万/月,06-19,8000.0,16000.0,湖北省,武汉,洪山区
PHP开发工程师（急聘）,南宁艾科普实验设备有限责任公司,南宁,6-8千/月,06-19,6000.0,8000.0,广西壮族自治区,南宁,
PHP开发工程师,深圳数马电子技术有限公司,深圳-南山区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,南山区
PHP高级开发工程师,广州唤醒她科技有限公司,广州-白云区,0.7-1.1万/月,06-19,7000.0,11000.0,广东省,广州,白云区
PHP开发工程师,航化中网（北京）科技有限公司,北京-海淀区,0.6-1万/月,06-19,6000.0,10000.0,北京市,北京,海淀区
PHP中级开发工程师,上海瑞升商务信息咨询有限公司,上海-普陀区,0.7-1.2万/月,06-19,7000.0,12000.0,上海市,上海,普陀区
PHP开发工程师,广州科犁医学研究有限公司,广州-海珠区,0.8-2万/月,06-19,8000.0,20000.0,广东省,广州,海珠区
PHP开发工程师,深圳市畅玩时代科技有限公司,深圳-南山区,0.8-1.5万/月,06-19,8000.0,15000.0,广东省,深圳,南山区
PHP开发工程师（ERP系统）,挪亚检测认证集团有限公司,上海-浦东新区,1.4-1.8万/月,06-19,14000.0,18000.0,上海市,上海,浦东新区
PHP开发工程师,冠脉堂信息科技（上海）有限公司,上海-徐汇区,0.8-1.5万/月,06-19,8000.0,15000.0,上海市,上海,徐汇区
PHP后端工程师,中山市天启智能科技有限公司,中山,0.4-1.5万/月,06-19,4000.0,15000.0,广东省,中山,
PHP开发工程师,欧瑞思丹网络技术（苏州）有限公司...,苏州,1-1.5万/月,06-19,10000.0,15000.0,江苏省,苏州,
PHP开发工程师,青岛安铭信息科技有限公司,青岛-市南区,0.8-1.5万/月,06-19,8000.0,15000.0,山东省,青岛,市南区
PHP全栈工程师,维沙（上海）企业发展有限公司,上海-浦东新区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,浦东新区
php程序员,重庆欣仕达科技有限公司,重庆-九龙坡区,6-8千/月,06-19,6000.0,8000.0,重庆市,重庆,九龙坡区
