address,area,city,company,date,salary_max,salary_min,salery,title,province
上海-闵行区,闵行区,上海,上海神箭机电工程有限责任公司,06-08,22000.0,17000.0,1.7-2.2万/月,嵌入式软件工程师,上海
青岛,NA,青岛,青岛蜗牛信息技术有限公司,06-08,8000.0,6000.0,6-8千/月,嵌入式软件工程师,山东
无锡-江阴市,江阴市,无锡,江苏金一艺术品投资有限公司,06-08,8000.0,4000.0,4-8千/月,嵌入式软件工程师,江苏
杭州-余杭区,余杭区,杭州,杭州笃远智能科技有限公司,06-08,12000.0,7000.0,0.7-1.2万/月,高级嵌入式软件工程师,浙江
深圳-宝安区,宝安区,深圳,深圳市航智精密电子有限公司,06-08,20000.0,10000.0,1-2万/月,嵌入式软件工程师,广东
上海-徐汇区,徐汇区,上海,骏龙科技有限公司,06-08,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师/Software Engineer,上海
南京,NA,南京,南京启纬智芯微电子有限公司,06-08,10000.0,8000.0,0.8-1万/月,嵌入式软件工程师,江苏
杭州-临安区,临安区,杭州,杭州鹏成新能源科技有限公司,06-08,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,浙江
上海-静安区,静安区,上海,上海利唐信息科技有限公司,06-08,30000.0,20000.0,2-3万/月,高级嵌入式软件工程师,上海
宜昌,NA,宜昌,湖北亿立能科技股份有限公司,06-08,10000.0,6000.0,0.6-1万/月,嵌入式软件工程师,湖北
上海-浦东新区,浦东新区,上海,奉加微电子（上海）有限公司,06-08,10000.0,8000.0,0.8-1万/月,嵌入式软件工程师(蓝牙）,上海
苏州,NA,苏州,吉孚动力技术(中国)有限公司,06-08,20000.0,7000.0,0.7-2万/月,嵌入式软件工程师,江苏
南京-江宁区,江宁区,南京,南京科唯信过程控制有限公司,06-08,12000.0,6000.0,0.6-1.2万/月,嵌入式软件工程师,江苏
北京-海淀区,海淀区,北京,高拓讯达（北京）科技有限公司,06-08,20000.0,10000.0,1-2万/月,嵌入式软件工程师,北京
深圳-龙华新区,龙华新区,深圳,深圳市优睿达科技有限公司,06-08,20000.0,10000.0,1-2万/月,嵌入式软件工程师,广东
北京,NA,北京,北京新岸线移动多媒体技术有限公司...,06-08,25000.0,15000.0,1.5-2.5万/月,嵌入式软件工程师,北京
广州-天河区,天河区,广州,广州澳盾智能科技有限公司,06-08,15000.0,8000.0,0.8-1.5万/月,嵌入式软件工程师,广东
常州-新北区,新北区,常州,常州高清信息技术有限公司,06-08,15000.0,10000.0,1-1.5万/月,高级嵌入式软件工程师,江苏
杭州-余杭区,余杭区,杭州,杭州祥元电子科技有限公司,06-08,15000.0,5000.0,0.5-1.5万/月,嵌入式软件工程师,浙江
南京-浦口区,浦口区,南京,南京北宇新通科技有限公司,06-08,16000.0,8000.0,0.8-1.6万/月,嵌入式软件工程师,江苏
西安,NA,西安,西安定华电子股份有限公司,06-08,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,陕西
杭州,NA,杭州,浙江中自机电控制技术有限公司,06-08,15000.0,7000.0,0.7-1.5万/月,嵌入式软件工程师,浙江
深圳-南山区,南山区,深圳,深圳市艾锐达光电有限公司,06-08,8000.0,6000.0,6-8千/月,嵌入式软件工程师,广东
深圳-宝安区,宝安区,深圳,深圳市艾拍科技有限公司,06-08,8000.0,6000.0,6-8千/月,嵌入式软件工程师,广东
深圳-南山区,南山区,深圳,深圳乐虎生命科技有限公司,06-08,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,广东
上海,NA,上海,江苏润和软件股份有限公司,06-08,30000.0,13000.0,1.3-3万/月,嵌入式软件工程师,上海
深圳,NA,深圳,迈柯博科技（上海）有限公司,06-08,25000.0,10000.0,1-2.5万/月,嵌入式软件工程师,广东
武汉-东湖新技...,东湖新技...,武汉,宁波华运智能科技有限公司,06-08,20000.0,9000.0,0.9-2万/月,嵌入式软件工程师,湖北
上海-嘉定区,嘉定区,上海,上海航天电子有限公司,06-08,35000.0,10000.0,1-3.5万/月,嵌入式软件工程师,上海
合肥-高新区,高新区,合肥,合肥合芯微电子科技有限公司,06-07,12000.0,8000.0,0.8-1.2万/月,嵌入式软件工程师,安徽
合肥-高新区,高新区,合肥,合肥小鲲科技有限公司,06-07,20000.0,10000.0,1-2万/月,嵌入式软件工程师,安徽
南昌-红谷滩新...,红谷滩新...,南昌,江西舜浥星科技有限公司,06-07,10000.0,6000.0,0.6-1万/月,嵌入式软件工程师,江西
青岛-城阳区,城阳区,青岛,日世（中国）投资有限公司,06-07,10000.0,5000.0,0.5-1万/月,嵌入式软件工程师,山东
杭州-余杭区,余杭区,杭州,杭州锐一汽配有限公司,06-07,4500.0,3000.0,3-4.5千/月,嵌入式软件工程师,浙江
深圳-南山区,南山区,深圳,安克创新科技股份有限公司深圳分公...,06-07,30000.0,20000.0,2-3万/月,嵌入式软件工程师,广东
天津-西青区,西青区,天津,天津华云天仪特种气象探测技术有限...,06-07,6000.0,4500.0,4.5-6千/月,嵌入式软件工程师,天津
芜湖,NA,芜湖,芜湖易来达雷达科技有限公司,06-07,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,安徽
常州-钟楼区,钟楼区,常州,常州佰肯智控科技有限公司,06-07,18000.0,7000.0,0.7-1.8万/月,嵌入式软件工程师,江苏
