title,company,address,salery,date,salary_min,salary_max,provence,city,area
嵌入式硬件工程师,北京纳米维景科技有限公司,上海-浦东新区,1-2.5万/月,06-16,10000.0,25000.0,上海市,上海,浦东新区
嵌入式硬件工程师（中级）,江苏大周基业智能科技有限公司,南京-雨花台区,0.8-1.5万/月,06-16,8000.0,15000.0,江苏省,南京,雨花台区
嵌入式硬件工程师,南京根土农业科技有限公司,南京-玄武区,1-2万/月,06-16,10000.0,20000.0,江苏省,南京,玄武区
嵌入式硬件工程师,西安亚能电气有限责任公司,西安,1.2-2万/月,06-16,12000.0,20000.0,陕西省,西安,
嵌入式硬件工程师,广东康云多维视觉智能科技有限公司...,广州-黄埔区,1-1.8万/月,06-16,10000.0,18000.0,广东省,广州,黄埔区
嵌入式硬件工程师,上海企想信息技术有限公司,上海-宝山区,6-8千/月,06-16,6000.0,8000.0,上海市,上海,宝山区
嵌入式硬件工程师,南京东屋电气有限公司,南京,1-1.5万/月,06-16,10000.0,15000.0,江苏省,南京,
嵌入式硬件工程师,江苏若临物联科技有限公司,苏州-工业园区,0.8-1.2万/月,06-16,8000.0,12000.0,江苏省,苏州,工业园区
嵌入式硬件工程师（射频）,中科芯集成电路股份有限公司,南京-浦口区,1-1.5万/月,06-16,10000.0,15000.0,江苏省,南京,浦口区
嵌入式硬件工程师,广州紫川电子科技有限公司,广州-南沙区,0.7-2万/月,06-16,7000.0,20000.0,广东省,广州,南沙区
嵌入式硬件工程师,广东普门生物医疗科技有限公司,东莞-松山湖区,0.8-1.2万/月,06-16,8000.0,12000.0,广东省,东莞,松山湖区
嵌入式硬件工程师,南京东南建筑机电抗震研究院有限公...,南京-溧水区,0.8-1.5万/月,06-16,8000.0,15000.0,江苏省,南京,溧水区
嵌入式硬件工程师,深圳市合元科技有限公司,深圳,1.5-2万/月,06-16,15000.0,20000.0,广东省,深圳,
嵌入式硬件工程师,浙江奔一电气有限公司,温州,1-1.2万/月,06-16,10000.0,12000.0,浙江省,温州,
嵌入式硬件工程师,北京瑞赛长城航空测控技术有限公司...,北京,0.6-1.2万/月,06-16,6000.0,12000.0,北京市,北京,
嵌入式硬件工程师,浙江康立自控科技有限公司,杭州-滨江区,1-1.5万/月,06-16,10000.0,15000.0,浙江省,杭州,滨江区
嵌入式硬件工程师,武汉飞恩微电子有限公司,武汉-洪山区,0.3-1万/月,06-16,3000.0,10000.0,湖北省,武汉,洪山区
嵌入式硬件工程师,上海金网通信技术发展有限公司,上海-松江区,0.8-1.5万/月,06-16,8000.0,15000.0,上海市,上海,松江区
