title,company,address,salery,date,salary_min,salary_max,provence,city,area
高级研发工程师(C++/Go),汇讯数码科技（深圳）有限公司,深圳-南山区,2.5-3.5万/月,04-26,25000.0,35000.0,广东省,深圳,南山区
GO语言开发工程师,赛特斯信息科技股份有限公司,南京,1-1.5万/月,04-25,10000.0,15000.0,江苏省,南京,
实习Golang/Go开发,深圳市元征科技股份有限公司,深圳-南山区,3-8千/月,04-22,3000.0,8000.0,广东省,深圳,南山区
002go开发工程师,杭州云霁科技有限公司,杭州,1-1.5万/月,04-19,10000.0,15000.0,浙江省,杭州,
淘宝美工/网页设计师,万和GO,深圳-光明新区,4-8千/月,06-18,4000.0,8000.0,广东省,深圳,光明新区
系统测试工程师,盛科网络（苏州）有限公司,苏州-工业园区,1.2-2万/月,06-19,12000.0,20000.0,江苏省,苏州,工业园区
编译器软件开发工程师,无锡先进技术研究院,无锡-滨湖区,18-22万/年,06-19,15000.0,18333.0,江苏省,无锡,滨湖区
Web前端开发工程师,上海讯联数据服务有限公司,无锡-无锡新区,1.2-1.7万/月,06-19,12000.0,17000.0,江苏省,无锡,无锡新区
Golang开发工程师,成都觅瑞科技有限公司,成都-高新区,1-2万/月,06-19,10000.0,20000.0,四川省,成都,高新区
采购专员/Sourcing Specialist,东莞德龙健伍电器有限公司,东莞-清溪镇,4-7千/月,06-19,4000.0,7000.0,广东省,东莞,清溪镇
前端开发工程师,杭州中亚机械股份有限公司,杭州-拱墅区,1.5-2万/月,06-19,15000.0,20000.0,浙江省,杭州,拱墅区
性能测试工程师,中国航空结算有限责任公司,北京,1-1.5万/月,06-19,10000.0,15000.0,北京市,北京,
高级前端开发工程师,奈雪的茶,深圳-福田区,2-2.5万/月,06-19,20000.0,25000.0,广东省,深圳,福田区
DAC-External Innovation Manager-Shanghai,赛诺菲（中国）投资有限公司,上海-静安区,2.5-3万/月,06-19,25000.0,30000.0,上海市,上海,静安区
前端开发工程师,美的集团电子商务有限公司,深圳-南山区,1.1-2.2万/月,06-19,11000.0,22000.0,广东省,深圳,南山区
高级软件工程师,华为技术有限公司,西安-高新技术...,1.5-2万/月,06-19,15000.0,20000.0,陕西省,西安,高新技术...
PHP技术总监/架构师,广州慧亚传媒科技有限公司,广州,2-3.5万/月,06-19,20000.0,35000.0,广东省,广州,
大数据安全工程师 (MJ001082),曙光信息产业股份有限公司,武汉-东西湖区,1.5-2.5万/月,06-19,15000.0,25000.0,湖北省,武汉,东西湖区
Java高级开发工程师,上海宝申数字科技有限公司,上海-闵行区,2-3万/月,06-19,20000.0,30000.0,上海市,上海,闵行区
C++/golang开发工程师,深圳市如法科技有限公司,深圳-南山区,2-2.5万/月,06-19,20000.0,25000.0,广东省,深圳,南山区
边缘计算工程师,清华大学,北京-海淀区,0.6-2万/月,06-19,6000.0,20000.0,北京市,北京,海淀区
软件工程师,新疆道良智能市政园林建设有限公司...,乌鲁木齐,0.5-1万/月,06-19,5000.0,10000.0,新疆维吾尔自治区,乌鲁木齐,
